angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.12,,,"(586, 315, 301, 301)",,,0.0,,,0.1,,,0.08,,,0.36,,,0.08,,,0.27,,
0.49,0.06,,"(201, 576, 62, 62)","(585, 297, 316, 316)",,0.0,0.0,,0.04,0.08,,0.16,0.07,,0.05,0.38,,0.26,0.09,,0.0,0.32,
0.09,0.09,,"(211, 634, 84, 84)","(588, 310, 298, 298)",,0.0,0.0,,0.08,0.05,,0.34,0.11,,0.04,0.58,,0.45,0.09,,0.0,0.09,
0.09,,,"(587, 302, 307, 307)",,,0.0,,,0.03,,,0.38,,,0.25,,,0.06,,,0.18,,
0.11,0.0,,"(211, 634, 86, 86)","(573, 301, 301, 301)",,0.0,0.0,,0.13,0.0,,0.11,0.99,,0.05,0.01,,0.59,0.0,,0.0,0.0,
0.16,0.07,,"(215, 635, 81, 81)","(571, 298, 320, 320)",,0.02,0.0,,0.19,0.06,,0.24,0.04,,0.07,0.52,,0.32,0.11,,0.0,0.19,
0.52,0.1,,"(199, 576, 64, 64)","(567, 266, 323, 323)",,0.0,0.0,,0.04,0.04,,0.18,0.23,,0.02,0.46,,0.23,0.05,,0.01,0.12,
0.14,,,"(563, 239, 335, 335)",,,0.0,,,0.09,,,0.03,,,0.52,,,0.03,,,0.2,,
0.41,0.06,0.07,"(201, 576, 63, 63)","(212, 634, 82, 82)","(556, 233, 349, 349)",0.0,0.0,0.0,0.03,0.14,0.06,0.19,0.3,0.35,0.04,0.1,0.25,0.32,0.4,0.04,0.0,0.0,0.23
0.06,0.33,,"(215, 636, 78, 78)","(562, 244, 339, 339)",,0.01,0.0,,0.12,0.02,,0.39,0.02,,0.08,0.58,,0.35,0.04,,0.0,0.02,
0.17,,,"(554, 242, 346, 346)",,,0.0,,,0.07,,,0.17,,,0.37,,,0.08,,,0.14,,
0.23,0.13,,"(201, 578, 60, 60)","(560, 246, 334, 334)",,0.0,0.0,,0.05,0.05,,0.09,0.03,,0.03,0.54,,0.6,0.07,,0.0,0.17,
0.57,0.1,0.09,"(200, 575, 65, 65)","(213, 635, 83, 83)","(567, 251, 328, 328)",0.0,0.0,0.0,0.03,0.09,0.04,0.09,0.18,0.06,0.04,0.09,0.63,0.26,0.53,0.06,0.0,0.0,0.13
0.09,0.06,,"(209, 633, 85, 85)","(560, 258, 329, 329)",,0.0,0.0,,0.09,0.06,,0.12,0.18,,0.04,0.48,,0.66,0.05,,0.0,0.16,
0.41,0.21,0.1,"(198, 575, 64, 64)","(212, 636, 82, 82)","(560, 263, 326, 326)",0.0,0.0,0.0,0.02,0.15,0.04,0.18,0.23,0.12,0.02,0.06,0.61,0.38,0.35,0.07,0.0,0.0,0.06
0.06,0.08,,"(212, 635, 84, 84)","(560, 250, 337, 337)",,0.0,0.0,,0.15,0.08,,0.18,0.11,,0.07,0.56,,0.54,0.06,,0.0,0.1,
